pipeline,nutrient,accuracy,macro_f1,weighted_f1,duration_s,colsample_bytree,learning_rate,max_depth,n_estimators,rate_drop,reg_alpha,reg_lambda,skip_drop,subsample
Preprocessed,N,0.352941176,0.260869565,0.276214834,4.6,0.5,0.01,2,50,0.1,0.1,1,0.5,0.6
Preprocessed,N,0.37254902,0.294117647,0.307958478,4.39,0.5,0.01,2,50,0.1,0.1,1,0.5,0.7
Preprocessed,N,0.31372549,0.23880597,0.25285338,10.67,0.5,0.01,2,50,0.1,0.1,1,0.5,0.8
Preprocessed,N,0.411764706,0.291666667,0.308823529,24.86,0.5,0.01,2,50,0.1,0.1,5,0.5,0.6
Preprocessed,N,0.411764706,0.291666667,0.308823529,25.13,0.5,0.01,2,50,0.1,0.1,5,0.5,0.7
Preprocessed,N,0.333333333,0.25,0.264705882,25.4,0.5,0.01,2,50,0.1,0.1,5,0.5,0.8
Preprocessed,N,0.411764706,0.291666667,0.308823529,25.38,0.5,0.01,2,50,0.1,1,1,0.5,0.6
Preprocessed,N,0.431372549,0.301369863,0.319097502,25.65,0.5,0.01,2,50,0.1,1,1,0.5,0.7
Preprocessed,N,0.352941176,0.260869565,0.276214834,25.94,0.5,0.01,2,50,0.1,1,1,0.5,0.8
Preprocessed,N,0.470588235,0.32,0.338823529,25.69,0.5,0.01,2,50,0.1,1,5,0.5,0.6
Preprocessed,N,0.470588235,0.32,0.338823529,25.83,0.5,0.01,2,50,0.1,1,5,0.5,0.7
Preprocessed,N,0.411764706,0.291666667,0.308823529,25.95,0.5,0.01,2,50,0.1,1,5,0.5,0.8
Preprocessed,N,0.352941176,0.260869565,0.276214834,24.06,0.5,0.01,2,50,0.3,0.1,1,0.5,0.6
Preprocessed,N,0.352941176,0.260869565,0.276214834,24.15,0.5,0.01,2,50,0.3,0.1,1,0.5,0.7
Preprocessed,N,0.333333333,0.25,0.264705882,24.21,0.5,0.01,2,50,0.3,0.1,1,0.5,0.8
Preprocessed,N,0.431372549,0.301369863,0.319097502,23.91,0.5,0.01,2,50,0.3,0.1,5,0.5,0.6
Preprocessed,N,0.450980392,0.310810811,0.3290938,24.01,0.5,0.01,2,50,0.3,0.1,5,0.5,0.7
Preprocessed,N,0.352941176,0.260869565,0.276214834,23.93,0.5,0.01,2,50,0.3,0.1,5,0.5,0.8
Preprocessed,N,0.431372549,0.301369863,0.319097502,22.71,0.5,0.01,2,50,0.3,1,1,0.5,0.6
Preprocessed,N,0.470588235,0.32,0.338823529,5.62,0.5,0.01,2,50,0.3,1,1,0.5,0.7
Preprocessed,N,0.37254902,0.271428571,0.287394958,5.13,0.5,0.01,2,50,0.3,1,1,0.5,0.8
Preprocessed,N,0.529411765,0.346153846,0.366515837,4.96,0.5,0.01,2,50,0.3,1,5,0.5,0.6
Preprocessed,N,0.490196078,0.328947368,0.348297214,5.5,0.5,0.01,2,50,0.3,1,5,0.5,0.7
Preprocessed,N,0.450980392,0.310810811,0.3290938,5.2,0.5,0.01,2,50,0.3,1,5,0.5,0.8
Preprocessed,N,0.352941176,0.282302772,0.295547473,19.36,0.5,0.01,2,100,0.1,0.1,1,0.5,0.6
Preprocessed,N,0.352941176,0.3002079,0.311507888,19.42,0.5,0.01,2,100,0.1,0.1,1,0.5,0.7
Preprocessed,N,0.431372549,0.408636545,0.415457346,19.37,0.5,0.01,2,100,0.1,0.1,1,0.5,0.8
Preprocessed,N,0.411764706,0.291666667,0.308823529,19.41,0.5,0.01,2,100,0.1,0.1,5,0.5,0.6
Preprocessed,N,0.352941176,0.282302772,0.295547473,19.6,0.5,0.01,2,100,0.1,0.1,5,0.5,0.7
Preprocessed,N,0.333333333,0.27020202,0.282828283,20.01,0.5,0.01,2,100,0.1,0.1,5,0.5,0.8
Preprocessed,N,0.411764706,0.291666667,0.308823529,20.04,0.5,0.01,2,100,0.1,1,1,0.5,0.6
Preprocessed,N,0.352941176,0.282302772,0.295547473,19.82,0.5,0.01,2,100,0.1,1,1,0.5,0.7
Preprocessed,N,0.333333333,0.27020202,0.282828283,19.66,0.5,0.01,2,100,0.1,1,1,0.5,0.8
Preprocessed,N,0.411764706,0.291666667,0.308823529,19.6,0.5,0.01,2,100,0.1,1,5,0.5,0.6
Preprocessed,N,0.37254902,0.271428571,0.287394958,20,0.5,0.01,2,100,0.1,1,5,0.5,0.7
Preprocessed,N,0.31372549,0.23880597,0.25285338,19.9,0.5,0.01,2,100,0.1,1,5,0.5,0.8
Preprocessed,N,0.352941176,0.282302772,0.295547473,18.03,0.5,0.01,2,100,0.3,0.1,1,0.5,0.6
Preprocessed,N,0.352941176,0.3002079,0.311507888,18.1,0.5,0.01,2,100,0.3,0.1,1,0.5,0.7
Preprocessed,N,0.431372549,0.408636545,0.415457346,18.04,0.5,0.01,2,100,0.3,0.1,1,0.5,0.8
Preprocessed,N,0.411764706,0.291666667,0.308823529,17.89,0.5,0.01,2,100,0.3,0.1,5,0.5,0.6
Preprocessed,N,0.352941176,0.282302772,0.295547473,18.27,0.5,0.01,2,100,0.3,0.1,5,0.5,0.7
Preprocessed,N,0.333333333,0.27020202,0.282828283,18.54,0.5,0.01,2,100,0.3,0.1,5,0.5,0.8
Preprocessed,N,0.411764706,0.291666667,0.308823529,18.04,0.5,0.01,2,100,0.3,1,1,0.5,0.6
Preprocessed,N,0.333333333,0.25,0.264705882,18.66,0.5,0.01,2,100,0.3,1,1,0.5,0.7
Preprocessed,N,0.333333333,0.27020202,0.282828283,18.21,0.5,0.01,2,100,0.3,1,1,0.5,0.8
Preprocessed,N,0.411764706,0.291666667,0.308823529,17.86,0.5,0.01,2,100,0.3,1,5,0.5,0.6
Preprocessed,N,0.37254902,0.271428571,0.287394958,18.11,0.5,0.01,2,100,0.3,1,5,0.5,0.7
Preprocessed,N,0.31372549,0.23880597,0.25285338,18.12,0.5,0.01,2,100,0.3,1,5,0.5,0.8
Preprocessed,N,0.392156863,0.342619543,0.353234683,43.21,0.5,0.01,2,150,0.1,0.1,1,0.5,0.6
Preprocessed,N,0.392156863,0.356532357,0.365438483,43.16,0.5,0.01,2,150,0.1,0.1,1,0.5,0.7
Preprocessed,N,0.450980392,0.440438871,0.444956666,43.02,0.5,0.01,2,150,0.1,0.1,1,0.5,0.8
Preprocessed,N,0.392156863,0.325799574,0.338241565,43.04,0.5,0.01,2,150,0.1,0.1,5,0.5,0.6
Preprocessed,N,0.352941176,0.3002079,0.311507888,43.24,0.5,0.01,2,150,0.1,0.1,5,0.5,0.7
Preprocessed,N,0.411764706,0.383064516,0.390891841,43.51,0.5,0.01,2,150,0.1,0.1,5,0.5,0.8
Preprocessed,N,0.392156863,0.325799574,0.338241565,43.26,0.5,0.01,2,150,0.1,1,1,0.5,0.6
Preprocessed,N,0.352941176,0.3002079,0.311507888,43.23,0.5,0.01,2,150,0.1,1,1,0.5,0.7
Preprocessed,N,0.333333333,0.27020202,0.282828283,42.95,0.5,0.01,2,150,0.1,1,1,0.5,0.8
Preprocessed,N,0.411764706,0.291666667,0.308823529,43.13,0.5,0.01,2,150,0.1,1,5,0.5,0.6
Preprocessed,N,0.37254902,0.294117647,0.307958478,42.85,0.5,0.01,2,150,0.1,1,5,0.5,0.7
Preprocessed,N,0.333333333,0.27020202,0.282828283,43.02,0.5,0.01,2,150,0.1,1,5,0.5,0.8
Preprocessed,N,0.392156863,0.342619543,0.353234683,38.22,0.5,0.01,2,150,0.3,0.1,1,0.5,0.6
Preprocessed,N,0.37254902,0.328947368,0.339009288,38.51,0.5,0.01,2,150,0.3,0.1,1,0.5,0.7
Preprocessed,N,0.450980392,0.440438871,0.444956666,38.66,0.5,0.01,2,150,0.3,0.1,1,0.5,0.8
Preprocessed,N,0.392156863,0.305665349,0.320080601,38.42,0.5,0.01,2,150,0.3,0.1,5,0.5,0.6
Preprocessed,N,0.352941176,0.3002079,0.311507888,38.38,0.5,0.01,2,150,0.3,0.1,5,0.5,0.7
Preprocessed,N,0.352941176,0.3002079,0.311507888,38.28,0.5,0.01,2,150,0.3,0.1,5,0.5,0.8
Preprocessed,N,0.37254902,0.294117647,0.307958478,38.53,0.5,0.01,2,150,0.3,1,1,0.5,0.6
Preprocessed,N,0.333333333,0.27020202,0.282828283,38.78,0.5,0.01,2,150,0.3,1,1,0.5,0.7
Preprocessed,N,0.333333333,0.27020202,0.282828283,38.63,0.5,0.01,2,150,0.3,1,1,0.5,0.8
Preprocessed,N,0.411764706,0.291666667,0.308823529,38.26,0.5,0.01,2,150,0.3,1,5,0.5,0.6
Preprocessed,N,0.352941176,0.260869565,0.276214834,38.03,0.5,0.01,2,150,0.3,1,5,0.5,0.7
Preprocessed,N,0.333333333,0.27020202,0.282828283,38.69,0.5,0.01,2,150,0.3,1,5,0.5,0.8
Preprocessed,N,0.352941176,0.260869565,0.276214834,5.59,0.5,0.01,3,50,0.1,0.1,1,0.5,0.6
Preprocessed,N,0.37254902,0.294117647,0.307958478,5.68,0.5,0.01,3,50,0.1,0.1,1,0.5,0.7
Preprocessed,N,0.31372549,0.23880597,0.25285338,5.68,0.5,0.01,3,50,0.1,0.1,1,0.5,0.8
Preprocessed,N,0.411764706,0.291666667,0.308823529,5.6,0.5,0.01,3,50,0.1,0.1,5,0.5,0.6
Preprocessed,N,0.411764706,0.291666667,0.308823529,5.62,0.5,0.01,3,50,0.1,0.1,5,0.5,0.7
Preprocessed,N,0.333333333,0.25,0.264705882,5.89,0.5,0.01,3,50,0.1,0.1,5,0.5,0.8
Preprocessed,N,0.411764706,0.291666667,0.308823529,5.53,0.5,0.01,3,50,0.1,1,1,0.5,0.6
Preprocessed,N,0.431372549,0.301369863,0.319097502,5.62,0.5,0.01,3,50,0.1,1,1,0.5,0.7
Preprocessed,N,0.352941176,0.260869565,0.276214834,5.76,0.5,0.01,3,50,0.1,1,1,0.5,0.8
Preprocessed,N,0.470588235,0.32,0.338823529,5.59,0.5,0.01,3,50,0.1,1,5,0.5,0.6
Preprocessed,N,0.470588235,0.32,0.338823529,5.78,0.5,0.01,3,50,0.1,1,5,0.5,0.7
Preprocessed,N,0.411764706,0.291666667,0.308823529,5.73,0.5,0.01,3,50,0.1,1,5,0.5,0.8
Preprocessed,N,0.352941176,0.260869565,0.276214834,5.3,0.5,0.01,3,50,0.3,0.1,1,0.5,0.6
Preprocessed,N,0.352941176,0.260869565,0.276214834,5.25,0.5,0.01,3,50,0.3,0.1,1,0.5,0.7
Preprocessed,N,0.31372549,0.23880597,0.25285338,5.39,0.5,0.01,3,50,0.3,0.1,1,0.5,0.8
Preprocessed,N,0.431372549,0.301369863,0.319097502,5.12,0.5,0.01,3,50,0.3,0.1,5,0.5,0.6
Preprocessed,N,0.450980392,0.310810811,0.3290938,5.35,0.5,0.01,3,50,0.3,0.1,5,0.5,0.7
Preprocessed,N,0.352941176,0.260869565,0.276214834,5.38,0.5,0.01,3,50,0.3,0.1,5,0.5,0.8
Preprocessed,N,0.431372549,0.301369863,0.319097502,5.38,0.5,0.01,3,50,0.3,1,1,0.5,0.6
Preprocessed,N,0.470588235,0.32,0.338823529,5.2,0.5,0.01,3,50,0.3,1,1,0.5,0.7
Preprocessed,N,0.37254902,0.271428571,0.287394958,5.4,0.5,0.01,3,50,0.3,1,1,0.5,0.8
Preprocessed,N,0.529411765,0.346153846,0.366515837,5.12,0.5,0.01,3,50,0.3,1,5,0.5,0.6
Preprocessed,N,0.490196078,0.328947368,0.348297214,5.4,0.5,0.01,3,50,0.3,1,5,0.5,0.7
Preprocessed,N,0.450980392,0.310810811,0.3290938,5.29,0.5,0.01,3,50,0.3,1,5,0.5,0.8
Preprocessed,N,0.352941176,0.282302772,0.295547473,19.62,0.5,0.01,3,100,0.1,0.1,1,0.5,0.6
Preprocessed,N,0.352941176,0.3002079,0.311507888,19.96,0.5,0.01,3,100,0.1,0.1,1,0.5,0.7
Preprocessed,N,0.431372549,0.408636545,0.415457346,20.33,0.5,0.01,3,100,0.1,0.1,1,0.5,0.8
Preprocessed,N,0.411764706,0.291666667,0.308823529,19.71,0.5,0.01,3,100,0.1,0.1,5,0.5,0.6
Preprocessed,N,0.352941176,0.282302772,0.295547473,19.68,0.5,0.01,3,100,0.1,0.1,5,0.5,0.7
Preprocessed,N,0.333333333,0.27020202,0.282828283,19.99,0.5,0.01,3,100,0.1,0.1,5,0.5,0.8
Preprocessed,N,0.411764706,0.291666667,0.308823529,19.95,0.5,0.01,3,100,0.1,1,1,0.5,0.6
Preprocessed,N,0.352941176,0.282302772,0.295547473,19.87,0.5,0.01,3,100,0.1,1,1,0.5,0.7
Preprocessed,N,0.333333333,0.27020202,0.282828283,20.06,0.5,0.01,3,100,0.1,1,1,0.5,0.8
Preprocessed,N,0.411764706,0.291666667,0.308823529,19.69,0.5,0.01,3,100,0.1,1,5,0.5,0.6
Preprocessed,N,0.37254902,0.271428571,0.287394958,19.61,0.5,0.01,3,100,0.1,1,5,0.5,0.7
Preprocessed,N,0.31372549,0.23880597,0.25285338,19.8,0.5,0.01,3,100,0.1,1,5,0.5,0.8
Preprocessed,N,0.352941176,0.282302772,0.295547473,17.5,0.5,0.01,3,100,0.3,0.1,1,0.5,0.6
Preprocessed,N,0.352941176,0.3002079,0.311507888,17.86,0.5,0.01,3,100,0.3,0.1,1,0.5,0.7
Preprocessed,N,0.450980392,0.433333333,0.439215686,17.83,0.5,0.01,3,100,0.3,0.1,1,0.5,0.8
Preprocessed,N,0.411764706,0.291666667,0.308823529,17.49,0.5,0.01,3,100,0.3,0.1,5,0.5,0.6
Preprocessed,N,0.352941176,0.282302772,0.295547473,17.72,0.5,0.01,3,100,0.3,0.1,5,0.5,0.7
Preprocessed,N,0.333333333,0.27020202,0.282828283,17.82,0.5,0.01,3,100,0.3,0.1,5,0.5,0.8
Preprocessed,N,0.411764706,0.291666667,0.308823529,17.72,0.5,0.01,3,100,0.3,1,1,0.5,0.6
Preprocessed,N,0.333333333,0.25,0.264705882,17.67,0.5,0.01,3,100,0.3,1,1,0.5,0.7
Preprocessed,N,0.31372549,0.23880597,0.25285338,17.85,0.5,0.01,3,100,0.3,1,1,0.5,0.8
Preprocessed,N,0.411764706,0.291666667,0.308823529,17.95,0.5,0.01,3,100,0.3,1,5,0.5,0.6
Preprocessed,N,0.37254902,0.271428571,0.287394958,17.52,0.5,0.01,3,100,0.3,1,5,0.5,0.7
Preprocessed,N,0.333333333,0.25,0.264705882,18.17,0.5,0.01,3,100,0.3,1,5,0.5,0.8
Preprocessed,N,0.392156863,0.342619543,0.353234683,41.96,0.5,0.01,3,150,0.1,0.1,1,0.5,0.6
Preprocessed,N,0.392156863,0.356532357,0.365438483,42.63,0.5,0.01,3,150,0.1,0.1,1,0.5,0.7
Preprocessed,N,0.470588235,0.463157895,0.466873065,42.58,0.5,0.01,3,150,0.1,0.1,1,0.5,0.8
Preprocessed,N,0.392156863,0.325799574,0.338241565,41.9,0.5,0.01,3,150,0.1,0.1,5,0.5,0.6
Preprocessed,N,0.352941176,0.3002079,0.311507888,42.01,0.5,0.01,3,150,0.1,0.1,5,0.5,0.7
Preprocessed,N,0.411764706,0.392857143,0.399159664,42.43,0.5,0.01,3,150,0.1,0.1,5,0.5,0.8
Preprocessed,N,0.392156863,0.325799574,0.338241565,42.02,0.5,0.01,3,150,0.1,1,1,0.5,0.6
Preprocessed,N,0.352941176,0.3002079,0.311507888,42.33,0.5,0.01,3,150,0.1,1,1,0.5,0.7
Preprocessed,N,0.333333333,0.27020202,0.282828283,42.58,0.5,0.01,3,150,0.1,1,1,0.5,0.8
Preprocessed,N,0.411764706,0.291666667,0.308823529,41.86,0.5,0.01,3,150,0.1,1,5,0.5,0.6
Preprocessed,N,0.37254902,0.294117647,0.307958478,42.26,0.5,0.01,3,150,0.1,1,5,0.5,0.7
Preprocessed,N,0.333333333,0.27020202,0.282828283,42.91,0.5,0.01,3,150,0.1,1,5,0.5,0.8
Preprocessed,N,0.392156863,0.342619543,0.353234683,37.74,0.5,0.01,3,150,0.3,0.1,1,0.5,0.6
Preprocessed,N,0.37254902,0.328947368,0.339009288,38.02,0.5,0.01,3,150,0.3,0.1,1,0.5,0.7
Preprocessed,N,0.450980392,0.440438871,0.444956666,38.23,0.5,0.01,3,150,0.3,0.1,1,0.5,0.8
Preprocessed,N,0.392156863,0.305665349,0.320080601,37.91,0.5,0.01,3,150,0.3,0.1,5,0.5,0.6
Preprocessed,N,0.352941176,0.3002079,0.311507888,38.49,0.5,0.01,3,150,0.3,0.1,5,0.5,0.7
