pipeline,nutrient,accuracy,macro_f1,weighted_f1,duration_s,colsample_bytree,learning_rate,max_depth,n_estimators,rate_drop,reg_alpha,reg_lambda,skip_drop,subsample
RawPixels,K,0.37254901960784315,0.2893617021276596,0.30638297872340425,14.52,0.5,0.01,2,50,0.1,0.1,1.0,0.5,0.6
RawPixels,K,0.39215686274509803,0.3344202898550725,0.3467391304347826,14.57,0.5,0.01,2,50,0.1,0.1,1.0,0.5,0.7
RawPixels,K,0.43137254901960786,0.37018129871221195,0.38542072151227674,14.36,0.5,0.01,2,50,0.1,0.1,1.0,0.5,0.8
RawPixels,K,0.27450980392156865,0.21016827783745076,0.22253111771024198,14.22,0.5,0.01,2,50,0.1,0.1,5.0,0.5,0.6
RawPixels,K,0.3333333333333333,0.25854700854700857,0.2737556561085973,14.45,0.5,0.01,2,50,0.1,0.1,5.0,0.5,0.7
RawPixels,K,0.37254901960784315,0.2893617021276596,0.30638297872340425,14.65,0.5,0.01,2,50,0.1,0.1,5.0,0.5,0.8
RawPixels,K,0.35294117647058826,0.2724668814894379,0.2884943451064636,14.5,0.5,0.01,2,50,0.1,1.0,1.0,0.5,0.6
RawPixels,K,0.3333333333333333,0.25886143931256717,0.27408858280154164,14.08,0.5,0.01,2,50,0.1,1.0,1.0,0.5,0.7
RawPixels,K,0.39215686274509803,0.3344202898550725,0.3467391304347826,14.57,0.5,0.01,2,50,0.1,1.0,1.0,0.5,0.8
RawPixels,K,0.27450980392156865,0.21016827783745076,0.22253111771024198,14.48,0.5,0.01,2,50,0.1,1.0,5.0,0.5,0.6
RawPixels,K,0.3137254901960784,0.24144144144144145,0.25564387917329096,14.4,0.5,0.01,2,50,0.1,1.0,5.0,0.5,0.7
RawPixels,K,0.35294117647058826,0.2724668814894379,0.2884943451064636,14.59,0.5,0.01,2,50,0.1,1.0,5.0,0.5,0.8
RawPixels,K,0.35294117647058826,0.2724668814894379,0.2884943451064636,13.59,0.5,0.01,2,50,0.3,0.1,1.0,0.5,0.6
RawPixels,K,0.3333333333333333,0.25886143931256717,0.27408858280154164,13.92,0.5,0.01,2,50,0.3,0.1,1.0,0.5,0.7
