pipeline,nutrient,accuracy,macro_f1,weighted_f1,duration_s,colsample_bytree,learning_rate,max_depth,n_estimators,rate_drop,reg_alpha,reg_lambda,skip_drop,subsample
Preprocessed,N,0.35294117647058826,0.2608695652173913,0.2762148337595908,4.6,0.5,0.01,2,50,0.1,0.1,1.0,0.5,0.6
Preprocessed,N,0.37254901960784315,0.29411764705882354,0.3079584775086505,4.39,0.5,0.01,2,50,0.1,0.1,1.0,0.5,0.7
Preprocessed,N,0.3137254901960784,0.23880597014925373,0.2528533801580334,10.67,0.5,0.01,2,50,0.1,0.1,1.0,0.5,0.8
Preprocessed,N,0.4117647058823529,0.2916666666666667,0.3088235294117647,24.86,0.5,0.01,2,50,0.1,0.1,5.0,0.5,0.6
Preprocessed,N,0.4117647058823529,0.2916666666666667,0.3088235294117647,25.13,0.5,0.01,2,50,0.1,0.1,5.0,0.5,0.7
Preprocessed,N,0.3333333333333333,0.25,0.2647058823529412,25.4,0.5,0.01,2,50,0.1,0.1,5.0,0.5,0.8
Preprocessed,N,0.4117647058823529,0.2916666666666667,0.3088235294117647,25.38,0.5,0.01,2,50,0.1,1.0,1.0,0.5,0.6
Preprocessed,N,0.43137254901960786,0.3013698630136986,0.31909750201450443,25.65,0.5,0.01,2,50,0.1,1.0,1.0,0.5,0.7
Preprocessed,N,0.35294117647058826,0.2608695652173913,0.2762148337595908,25.94,0.5,0.01,2,50,0.1,1.0,1.0,0.5,0.8
Preprocessed,N,0.47058823529411764,0.32,0.33882352941176475,25.69,0.5,0.01,2,50,0.1,1.0,5.0,0.5,0.6
Preprocessed,N,0.47058823529411764,0.32,0.33882352941176475,25.83,0.5,0.01,2,50,0.1,1.0,5.0,0.5,0.7
Preprocessed,N,0.4117647058823529,0.2916666666666667,0.3088235294117647,25.95,0.5,0.01,2,50,0.1,1.0,5.0,0.5,0.8
Preprocessed,N,0.35294117647058826,0.2608695652173913,0.2762148337595908,24.06,0.5,0.01,2,50,0.3,0.1,1.0,0.5,0.6
Preprocessed,N,0.35294117647058826,0.2608695652173913,0.2762148337595908,24.15,0.5,0.01,2,50,0.3,0.1,1.0,0.5,0.7
Preprocessed,N,0.3333333333333333,0.25,0.2647058823529412,24.21,0.5,0.01,2,50,0.3,0.1,1.0,0.5,0.8
Preprocessed,N,0.43137254901960786,0.3013698630136986,0.31909750201450443,23.91,0.5,0.01,2,50,0.3,0.1,5.0,0.5,0.6
Preprocessed,N,0.45098039215686275,0.3108108108108108,0.32909379968203495,24.01,0.5,0.01,2,50,0.3,0.1,5.0,0.5,0.7
Preprocessed,N,0.35294117647058826,0.2608695652173913,0.2762148337595908,23.93,0.5,0.01,2,50,0.3,0.1,5.0,0.5,0.8
Preprocessed,N,0.43137254901960786,0.3013698630136986,0.31909750201450443,22.71,0.5,0.01,2,50,0.3,1.0,1.0,0.5,0.6
Preprocessed,N,0.47058823529411764,0.32,0.33882352941176475,5.62,0.5,0.01,2,50,0.3,1.0,1.0,0.5,0.7
Preprocessed,N,0.37254901960784315,0.2714285714285714,0.28739495798319326,5.13,0.5,0.01,2,50,0.3,1.0,1.0,0.5,0.8
Preprocessed,N,0.5294117647058824,0.34615384615384615,0.36651583710407243,4.96,0.5,0.01,2,50,0.3,1.0,5.0,0.5,0.6
Preprocessed,N,0.49019607843137253,0.32894736842105265,0.34829721362229105,5.5,0.5,0.01,2,50,0.3,1.0,5.0,0.5,0.7
