pipeline,nutrient,accuracy,macro_f1,weighted_f1,duration_s,colsample_bytree,learning_rate,max_depth,n_estimators,rate_drop,reg_alpha,reg_lambda,skip_drop,subsample
RawPixels,N,0.5882352941176471,0.5296442687747036,0.5394094396651941,12.19,0.5,0.01,2,50,0.1,0.1,1.0,0.5,0.6
RawPixels,N,0.5686274509803921,0.5277777777777778,0.5359477124183007,11.34,0.5,0.01,2,50,0.1,0.1,1.0,0.5,0.7
RawPixels,N,0.5882352941176471,0.5546777546777547,0.5618686559863031,11.41,0.5,0.01,2,50,0.1,0.1,1.0,0.5,0.8
RawPixels,N,0.49019607843137253,0.32894736842105265,0.34829721362229105,11.59,0.5,0.01,2,50,0.1,0.1,5.0,0.5,0.6
RawPixels,N,0.49019607843137253,0.38611111111111107,0.4009803921568627,11.47,0.5,0.01,2,50,0.1,0.1,5.0,0.5,0.7
RawPixels,N,0.5294117647058824,0.43333333333333335,0.4470588235294118,11.69,0.5,0.01,2,50,0.1,0.1,5.0,0.5,0.8
RawPixels,N,0.49019607843137253,0.36003861003861004,0.37701567113331824,11.75,0.5,0.01,2,50,0.1,1.0,1.0,0.5,0.6
RawPixels,N,0.5098039215686274,0.4207178555202181,0.4340807654274795,11.89,0.5,0.01,2,50,0.1,1.0,1.0,0.5,0.7
RawPixels,N,0.5686274509803921,0.5147058823529412,0.5242214532871973,12.51,0.5,0.01,2,50,0.1,1.0,1.0,0.5,0.8
RawPixels,N,0.49019607843137253,0.32894736842105265,0.34829721362229105,12.53,0.5,0.01,2,50,0.1,1.0,5.0,0.5,0.6
RawPixels,N,0.47058823529411764,0.32,0.33882352941176475,12.49,0.5,0.01,2,50,0.1,1.0,5.0,0.5,0.7
RawPixels,N,0.5098039215686274,0.39773264052905055,0.4130150879435383,12.2,0.5,0.01,2,50,0.1,1.0,5.0,0.5,0.8
RawPixels,N,0.5294117647058824,0.43333333333333335,0.4470588235294118,11.97,0.5,0.01,2,50,0.3,0.1,1.0,0.5,0.6
RawPixels,N,0.5882352941176471,0.5432835820895523,0.55171202809482,12.26,0.5,0.01,2,50,0.3,0.1,1.0,0.5,0.7
RawPixels,N,0.6078431372549019,0.5588235294117647,0.5674740484429066,12.08,0.5,0.01,2,50,0.3,0.1,1.0,0.5,0.8
RawPixels,N,0.49019607843137253,0.32894736842105265,0.34829721362229105,12.2,0.5,0.01,2,50,0.3,0.1,5.0,0.5,0.6
RawPixels,N,0.45098039215686275,0.3108108108108108,0.32909379968203495,11.95,0.5,0.01,2,50,0.3,0.1,5.0,0.5,0.7
RawPixels,N,0.5294117647058824,0.43333333333333335,0.4470588235294118,12.02,0.5,0.01,2,50,0.3,0.1,5.0,0.5,0.8
RawPixels,N,0.49019607843137253,0.36003861003861004,0.37701567113331824,12.16,0.5,0.01,2,50,0.3,1.0,1.0,0.5,0.6
RawPixels,N,0.5098039215686274,0.4207178555202181,0.4340807654274795,12.21,0.5,0.01,2,50,0.3,1.0,1.0,0.5,0.7
RawPixels,N,0.5686274509803921,0.49910714285714286,0.5100840336134455,12.07,0.5,0.01,2,50,0.3,1.0,1.0,0.5,0.8
RawPixels,N,0.49019607843137253,0.32894736842105265,0.34829721362229105,12.09,0.5,0.01,2,50,0.3,1.0,5.0,0.5,0.6
RawPixels,N,0.49019607843137253,0.32894736842105265,0.34829721362229105,12.42,0.5,0.01,2,50,0.3,1.0,5.0,0.5,0.7
