nutrient,accuracy,macro_f1,weighted_f1,duration_sec,colsample_bytree,learning_rate,max_depth,n_estimators,rate_drop,skip_drop,subsample
N,0.6274509803921569,0.6251450676982592,0.6268745022186825,150.61983156204224,0.7,0.05,4,150,0.1,0.5,0.7
N,0.6078431372549019,0.6064814814814815,0.6078431372549019,141.60800075531006,0.7,0.05,4,150,0.1,0.5,0.8
N,0.5882352941176471,0.5824561403508772,0.5853457172342621,43.496702909469604,0.7,0.05,4,150,0.1,0.5,0.9
N,0.6274509803921569,0.6251450676982592,0.6268745022186825,41.61801242828369,0.7,0.05,4,150,0.2,0.5,0.7
N,0.6078431372549019,0.6064814814814815,0.6078431372549019,41.63556361198425,0.7,0.05,4,150,0.2,0.5,0.8
N,0.5882352941176471,0.5824561403508772,0.5853457172342621,42.215721130371094,0.7,0.05,4,150,0.2,0.5,0.9
N,0.6274509803921569,0.626877165960724,0.6277378876078734,117.07740473747253,0.7,0.05,4,250,0.1,0.5,0.7
N,0.6078431372549019,0.6064814814814815,0.6078431372549019,119.06519103050232,0.7,0.05,4,250,0.1,0.5,0.8
N,0.5882352941176471,0.5856866537717602,0.5875981340311753,117.20825743675232,0.7,0.05,4,250,0.1,0.5,0.9
N,0.6274509803921569,0.6251450676982592,0.6268745022186825,195.07409381866455,0.7,0.05,4,250,0.2,0.5,0.7
N,0.6078431372549019,0.6076923076923078,0.6081447963800904,509.3176839351654,0.7,0.05,4,250,0.2,0.5,0.8
N,0.5882352941176471,0.5856866537717602,0.5875981340311753,513.5793902873993,0.7,0.05,4,250,0.2,0.5,0.9
N,0.6470588235294118,0.6458333333333333,0.6470588235294118,1009.4295897483826,0.7,0.05,4,350,0.1,0.5,0.7
N,0.6274509803921569,0.6251450676982592,0.6268745022186825,1011.5654170513153,0.7,0.05,4,350,0.1,0.5,0.8
N,0.6078431372549019,0.6064814814814815,0.6078431372549019,926.0694813728333,0.7,0.05,4,350,0.1,0.5,0.9
N,0.6470588235294118,0.6458333333333333,0.6470588235294118,218.05224800109863,0.7,0.05,4,350,0.2,0.5,0.7
N,0.6274509803921569,0.6251450676982592,0.6268745022186825,222.4661877155304,0.7,0.05,4,350,0.2,0.5,0.8`
N,0.5882352941176471,0.5856866537717602,0.5875981340311753,222.56590819358826,0.7,0.05,4,350,0.2,0.5,0.9
N,0.6274509803921569,0.6251450676982592,0.6268745022186825,45.54202890396118,0.7,0.05,6,150,0.1,0.5,0.7
N,0.5882352941176471,0.5856866537717602,0.5875981340311753,45.2919237613678,0.7,0.05,6,150,0.1,0.5,0.8
N,0.5882352941176471,0.5824561403508772,0.5853457172342621,45.154717206954956,0.7,0.05,6,150,0.1,0.5,0.9
N,0.6078431372549019,0.6040372670807453,0.6063207891852394,42.516831159591675,0.7,0.05,6,150,0.2,0.5,0.7
N,0.5882352941176471,0.5856866537717602,0.5875981340311753,42.999596118927,0.7,0.05,6,150,0.2,0.5,0.8
N,0.5882352941176471,0.5824561403508772,0.5853457172342621,43.10163593292236,0.7,0.05,6,150,0.2,0.5,0.9
N,0.6274509803921569,0.626877165960724,0.6277378876078734,118.16158366203308,0.7,0.05,6,250,0.1,0.5,0.7
N,0.6078431372549019,0.6064814814814815,0.6078431372549019,118.97232723236084,0.7,0.05,6,250,0.1,0.5,0.8
N,0.5882352941176471,0.5856866537717602,0.5875981340311753,119.1154375076294,0.7,0.05,6,250,0.1,0.5,0.9
N,0.6078431372549019,0.6040372670807453,0.6063207891852394,113.03517627716064,0.7,0.05,6,250,0.2,0.5,0.7
N,0.6078431372549019,0.6076923076923078,0.6081447963800904,113.7792706489563,0.7,0.05,6,250,0.2,0.5,0.8
N,0.5882352941176471,0.5856866537717602,0.5875981340311753,114.22951793670654,0.7,0.05,6,250,0.2,0.5,0.9
N,0.6470588235294118,0.6458333333333333,0.6470588235294118,225.81264424324036,0.7,0.05,6,350,0.1,0.5,0.7
N,0.6274509803921569,0.6251450676982592,0.6268745022186825,224.57793498039246,0.7,0.05,6,350,0.1,0.5,0.8
N,0.5882352941176471,0.5856866537717602,0.5875981340311753,224.31512236595154,0.7,0.05,6,350,0.1,0.5,0.9
N,0.6470588235294118,0.6458333333333333,0.6470588235294118,213.41476845741272,0.7,0.05,6,350,0.2,0.5,0.7
N,0.6274509803921569,0.6251450676982592,0.6268745022186825,213.95954513549805,0.7,0.05,6,350,0.2,0.5,0.8
N,0.6078431372549019,0.6040372670807453,0.6063207891852394,218.26697731018066,0.7,0.05,6,350,0.2,0.5,0.9
N,0.6078431372549019,0.6064814814814815,0.6078431372549019,43.71791982650757,0.7,0.1,4,150,0.1,0.5,0.7
N,0.6274509803921569,0.6251450676982592,0.6268745022186825,43.85323119163513,0.7,0.1,4,150,0.1,0.5,0.8
N,0.6078431372549019,0.6064814814814815,0.6078431372549019,44.1211884021759,0.7,0.1,4,150,0.1,0.5,0.9
N,0.6470588235294118,0.6469230769230769,0.6473303167420814,41.70348381996155,0.7,0.1,4,150,0.2,0.5,0.7
N,0.5882352941176471,0.5856866537717602,0.5875981340311753,41.736119747161865,0.7,0.1,4,150,0.2,0.5,0.8
N,0.6078431372549019,0.6064814814814815,0.6078431372549019,41.8438560962677,0.7,0.1,4,150,0.2,0.5,0.9
N,0.6470588235294118,0.6469230769230769,0.6473303167420814,117.29505372047424,0.7,0.1,4,250,0.1,0.5,0.7
N,0.6470588235294118,0.6458333333333333,0.6470588235294118,117.13929653167725,0.7,0.1,4,250,0.1,0.5,0.8
N,0.6078431372549019,0.6064814814814815,0.6078431372549019,117.20031833648682,0.7,0.1,4,250,0.1,0.5,0.9
N,0.6470588235294118,0.6469230769230769,0.6473303167420814,112.05354833602905,0.7,0.1,4,250,0.2,0.5,0.7
N,0.6078431372549019,0.6040372670807453,0.6063207891852394,111.59345054626465,0.7,0.1,4,250,0.2,0.5,0.8
N,0.6078431372549019,0.6064814814814815,0.6078431372549019,112.32682919502258,0.7,0.1,4,250,0.2,0.5,0.9
N,0.6470588235294118,0.6469230769230769,0.6473303167420814,225.3891260623932,0.7,0.1,4,350,0.1,0.5,0.7
N,0.6470588235294118,0.6458333333333333,0.6470588235294118,226.7084288597107,0.7,0.1,4,350,0.1,0.5,0.8
N,0.6470588235294118,0.6458333333333333,0.6470588235294118,225.0339035987854,0.7,0.1,4,350,0.1,0.5,0.9
N,0.6470588235294118,0.6469230769230769,0.6473303167420814,212.62697219848633,0.7,0.1,4,350,0.2,0.5,0.7
N,0.6274509803921569,0.6251450676982592,0.6268745022186825,218.96494841575623,0.7,0.1,4,350,0.2,0.5,0.8
N,0.6470588235294118,0.6458333333333333,0.6470588235294118,213.4569547176361,0.7,0.1,4,350,0.2,0.5,0.9
N,0.6274509803921569,0.626877165960724,0.6277378876078734,43.60036826133728,0.7,0.1,6,150,0.1,0.5,0.7
N,0.6274509803921569,0.6251450676982592,0.6268745022186825,43.60932111740112,0.7,0.1,6,150,0.1,0.5,0.8
N,0.6274509803921569,0.6251450676982592,0.6268745022186825,43.40923500061035,0.7,0.1,6,150,0.1,0.5,0.9
N,0.6470588235294118,0.6469230769230769,0.6473303167420814,41.39540672302246,0.7,0.1,6,150,0.2,0.5,0.7
N,0.5882352941176471,0.5856866537717602,0.5875981340311753,41.82277584075928,0.7,0.1,6,150,0.2,0.5,0.8
N,0.6078431372549019,0.6064814814814815,0.6078431372549019,41.6871223449707,0.7,0.1,6,150,0.2,0.5,0.9
N,0.6470588235294118,0.6469230769230769,0.6473303167420814,116.52941799163818,0.7,0.1,6,250,0.1,0.5,0.7
N,0.6274509803921569,0.6251450676982592,0.6268745022186825,116.45281028747559,0.7,0.1,6,250,0.1,0.5,0.8
N,0.6274509803921569,0.6251450676982592,0.6268745022186825,116.81641960144043,0.7,0.1,6,250,0.1,0.5,0.9
N,0.6666666666666666,0.6666666666666666,0.6666666666666666,112.13043642044067,0.7,0.1,6,250,0.2,0.5,0.7
N,0.6078431372549019,0.6040372670807453,0.6063207891852394,112.84782910346985,0.7,0.1,6,250,0.2,0.5,0.8
N,0.6274509803921569,0.6251450676982592,0.6268745022186825,112.71168112754822,0.7,0.1,6,250,0.2,0.5,0.9
N,0.6470588235294118,0.6469230769230769,0.6473303167420814,225.69035696983337,0.7,0.1,6,350,0.1,0.5,0.7
N,0.6470588235294118,0.6458333333333333,0.6470588235294118,225.72022318840027,0.7,0.1,6,350,0.1,0.5,0.8
N,0.6470588235294118,0.6458333333333333,0.6470588235294118,225.61066317558289,0.7,0.1,6,350,0.1,0.5,0.9
N,0.6470588235294118,0.6469230769230769,0.6473303167420814,214.4782989025116,0.7,0.1,6,350,0.2,0.5,0.7
N,0.6078431372549019,0.6040372670807453,0.6063207891852394,215.2664692401886,0.7,0.1,6,350,0.2,0.5,0.8
N,0.6274509803921569,0.6251450676982592,0.6268745022186825,215.43234252929688,0.7,0.1,6,350,0.2,0.5,0.9
N,0.6470588235294118,0.6458333333333333,0.6470588235294118,44.033159017562866,0.8,0.05,4,150,0.1,0.5,0.7
N,0.6078431372549019,0.6064814814814815,0.6078431372549019,43.977545499801636,0.8,0.05,4,150,0.1,0.5,0.8
N,0.6078431372549019,0.6040372670807453,0.6063207891852394,44.290374517440796,0.8,0.05,4,150,0.1,0.5,0.9
N,0.6274509803921569,0.6251450676982592,0.6268745022186825,41.69947552680969,0.8,0.05,4,150,0.2,0.5,0.7
N,0.6078431372549019,0.6064814814814815,0.6078431372549019,42.28986740112305,0.8,0.05,4,150,0.2,0.5,0.8
N,0.6078431372549019,0.6040372670807453,0.6063207891852394,41.97316789627075,0.8,0.05,4,150,0.2,0.5,0.9
N,0.6666666666666666,0.6661532537543319,0.666923373122834,116.60795497894287,0.8,0.05,4,250,0.1,0.5,0.7
N,0.6078431372549019,0.6064814814814815,0.6078431372549019,116.55813908576965,0.8,0.05,4,250,0.1,0.5,0.8
N,0.6078431372549019,0.6064814814814815,0.6078431372549019,116.60624384880066,0.8,0.05,4,250,0.1,0.5,0.9
N,0.6274509803921569,0.6251450676982592,0.6268745022186825,111.4098801612854,0.8,0.05,4,250,0.2,0.5,0.7
N,0.6078431372549019,0.6064814814814815,0.6078431372549019,111.56026554107666,0.8,0.05,4,250,0.2,0.5,0.8
N,0.6274509803921569,0.6251450676982592,0.6268745022186825,112.25909495353699,0.8,0.05,4,250,0.2,0.5,0.9
N,0.6666666666666666,0.6661532537543319,0.666923373122834,224.2299554347992,0.8,0.05,4,350,0.1,0.5,0.7
N,0.6470588235294118,0.6458333333333333,0.6470588235294118,224.00626349449158,0.8,0.05,4,350,0.1,0.5,0.8
N,0.6274509803921569,0.626877165960724,0.6277378876078734,225.7752103805542,0.8,0.05,4,350,0.1,0.5,0.9
N,0.6666666666666666,0.6661532537543319,0.666923373122834,213.05296874046326,0.8,0.05,4,350,0.2,0.5,0.7
N,0.6274509803921569,0.6251450676982592,0.6268745022186825,213.46579313278198,0.8,0.05,4,350,0.2,0.5,0.8
N,0.6274509803921569,0.626877165960724,0.6277378876078734,213.8704822063446,0.8,0.05,4,350,0.2,0.5,0.9
N,0.6274509803921569,0.6251450676982592,0.6268745022186825,44.0753870010376,0.8,0.05,6,150,0.1,0.5,0.7
N,0.6078431372549019,0.6064814814814815,0.6078431372549019,43.952059745788574,0.8,0.05,6,150,0.1,0.5,0.8
N,0.6078431372549019,0.6040372670807453,0.6063207891852394,44.04454255104065,0.8,0.05,6,150,0.1,0.5,0.9
N,0.6274509803921569,0.6251450676982592,0.6268745022186825,41.83936023712158,0.8,0.05,6,150,0.2,0.5,0.7
N,0.6078431372549019,0.6064814814814815,0.6078431372549019,42.13261914253235,0.8,0.05,6,150,0.2,0.5,0.8
N,0.6078431372549019,0.6040372670807453,0.6063207891852394,42.453986406326294,0.8,0.05,6,150,0.2,0.5,0.9
N,0.6470588235294118,0.6458333333333333,0.6470588235294118,117.41413640975952,0.8,0.05,6,250,0.1,0.5,0.7
N,0.6078431372549019,0.6064814814814815,0.6078431372549019,117.1720278263092,0.8,0.05,6,250,0.1,0.5,0.8
N,0.6078431372549019,0.6064814814814815,0.6078431372549019,117.40479874610901,0.8,0.05,6,250,0.1,0.5,0.9
N,0.6274509803921569,0.6251450676982592,0.6268745022186825,111.45270657539368,0.8,0.05,6,250,0.2,0.5,0.7
N,0.6274509803921569,0.626877165960724,0.6277378876078734,111.90675616264343,0.8,0.05,6,250,0.2,0.5,0.8
N,0.6078431372549019,0.6064814814814815,0.6078431372549019,112.6121346950531,0.8,0.05,6,250,0.2,0.5,0.9
N,0.6666666666666666,0.6661532537543319,0.666923373122834,223.55716943740845,0.8,0.05,6,350,0.1,0.5,0.7
N,0.6274509803921569,0.6251450676982592,0.6268745022186825,227.3743908405304,0.8,0.05,6,350,0.1,0.5,0.8
