pipeline,nutrient,accuracy,macro_f1,weighted_f1,duration_s,colsample_bytree,learning_rate,max_depth,n_estimators,rate_drop,reg_alpha,reg_lambda,skip_drop,subsample
RawPixels,P,0.11764705882352941,0.09225874867444327,0.09768573389058698,14.71,0.5,0.01,2,50,0.1,0.1,1.0,0.5,0.6
RawPixels,P,0.13725490196078433,0.10453216374269007,0.11068111455108358,14.79,0.5,0.01,2,50,0.1,0.1,1.0,0.5,0.7
RawPixels,P,0.17647058823529413,0.13997113997113997,0.14820473644003054,14.62,0.5,0.01,2,50,0.1,0.1,1.0,0.5,0.8
RawPixels,P,0.0196078431372549,0.014184397163120567,0.015018773466833541,14.55,0.5,0.01,2,50,0.1,0.1,5.0,0.5,0.6
RawPixels,P,0.0784313725490196,0.05921985815602837,0.06270337922403003,14.51,0.5,0.01,2,50,0.1,0.1,5.0,0.5,0.7
RawPixels,P,0.09803921568627451,0.07599858607281725,0.08046909113592414,14.68,0.5,0.01,2,50,0.1,0.1,5.0,0.5,0.8
RawPixels,P,0.058823529411764705,0.045035460992907804,0.04768460575719649,14.7,0.5,0.01,2,50,0.1,1.0,1.0,0.5,0.6
RawPixels,P,0.0784313725490196,0.05921985815602837,0.06270337922403003,14.55,0.5,0.01,2,50,0.1,1.0,1.0,0.5,0.7
RawPixels,P,0.11764705882352941,0.09007092198581561,0.09536921151439298,14.26,0.5,0.01,2,50,0.1,1.0,1.0,0.5,0.8
RawPixels,P,0.0,0.0,0.0,14.73,0.5,0.01,2,50,0.1,1.0,5.0,0.5,0.6
RawPixels,P,0.0196078431372549,0.015503875968992248,0.016415868673050615,14.44,0.5,0.01,2,50,0.1,1.0,5.0,0.5,0.7
RawPixels,P,0.058823529411764705,0.046159267089499655,0.048874518094764334,14.67,0.5,0.01,2,50,0.1,1.0,5.0,0.5,0.8
RawPixels,P,0.09803921568627451,0.07588652482269503,0.08035043804755945,14.05,0.5,0.01,2,50,0.3,0.1,1.0,0.5,0.6
RawPixels,P,0.09803921568627451,0.07264957264957266,0.07692307692307691,14.12,0.5,0.01,2,50,0.3,0.1,1.0,0.5,0.7
