nutrient,accuracy,macro_f1,weighted_f1,duration_sec,colsample_bytree,learning_rate,max_depth,n_estimators,rate_drop,skip_drop,subsample
P,0.6862745098039216,0.6862945895203959,0.6849191289418993,62.66295528411865,0.7,0.05,4,150,0.1,0.5,0.7
P,0.6666666666666666,0.6652819802724926,0.6626704838558841,62.37170219421387,0.7,0.05,4,150,0.1,0.5,0.8
P,0.6470588235294118,0.6518518518518519,0.6470588235294118,63.20162057876587,0.7,0.05,4,150,0.1,0.5,0.9
P,0.6862745098039216,0.6862945895203959,0.6849191289418993,59.73683285713196,0.7,0.05,4,150,0.2,0.5,0.7
P,0.6666666666666666,0.6652819802724926,0.6626704838558841,60.045851707458496,0.7,0.05,4,150,0.2,0.5,0.8
P,0.6470588235294118,0.6518518518518519,0.6470588235294118,59.58225703239441,0.7,0.05,4,150,0.2,0.5,0.9
P,0.6666666666666666,0.6666666666666666,0.6666666666666666,168.7308201789856,0.7,0.05,4,250,0.1,0.5,0.7
P,0.6470588235294118,0.6459030459030459,0.6446816564463623,169.08975219726562,0.7,0.05,4,250,0.1,0.5,0.8
P,0.6666666666666666,0.6652819802724926,0.6626704838558841,169.18425703048706,0.7,0.05,4,250,0.1,0.5,0.9
P,0.6862745098039216,0.6862945895203959,0.6849191289418993,160.55088353157043,0.7,0.05,4,250,0.2,0.5,0.7
P,0.6666666666666666,0.6652819802724926,0.6626704838558841,162.8674635887146,0.7,0.05,4,250,0.2,0.5,0.8
P,0.6470588235294118,0.6518518518518519,0.6470588235294118,162.31236577033997,0.7,0.05,4,250,0.2,0.5,0.9
P,0.6470588235294118,0.6459030459030459,0.6446816564463623,340.80976128578186,0.7,0.05,4,350,0.1,0.5,0.7
P,0.6470588235294118,0.6459030459030459,0.6446816564463623,330.96530175209045,0.7,0.05,4,350,0.1,0.5,0.8
P,0.6666666666666666,0.6652819802724926,0.6626704838558841,331.95176577568054,0.7,0.05,4,350,0.1,0.5,0.9
P,0.6862745098039216,0.6862945895203959,0.6849191289418993,314.99379563331604,0.7,0.05,4,350,0.2,0.5,0.7
P,0.6666666666666666,0.6652819802724926,0.6626704838558841,316.4037230014801,0.7,0.05,4,350,0.2,0.5,0.8
P,0.6666666666666666,0.6652819802724926,0.6626704838558841,317.76550245285034,0.7,0.05,4,350,0.2,0.5,0.9
P,0.6862745098039216,0.6862945895203959,0.6849191289418993,63.56958794593811,0.7,0.05,6,150,0.1,0.5,0.7
P,0.6666666666666666,0.6652819802724926,0.6626704838558841,63.78447985649109,0.7,0.05,6,150,0.1,0.5,0.8
P,0.6470588235294118,0.6518518518518519,0.6470588235294118,63.67361116409302,0.7,0.05,6,150,0.1,0.5,0.9
P,0.6862745098039216,0.6862945895203959,0.6849191289418993,60.450674057006836,0.7,0.05,6,150,0.2,0.5,0.7
P,0.6666666666666666,0.6652819802724926,0.6626704838558841,60.558162212371826,0.7,0.05,6,150,0.2,0.5,0.8
P,0.6470588235294118,0.6518518518518519,0.6470588235294118,60.88763880729675,0.7,0.05,6,150,0.2,0.5,0.9
P,0.6666666666666666,0.6666666666666666,0.6666666666666666,169.481618642807,0.7,0.05,6,250,0.1,0.5,0.7
P,0.6666666666666666,0.6652819802724926,0.6626704838558841,169.43967700004578,0.7,0.05,6,250,0.1,0.5,0.8
P,0.6666666666666666,0.6681252681252681,0.6642894995836173,169.5965325832367,0.7,0.05,6,250,0.1,0.5,0.9
P,0.6862745098039216,0.6862945895203959,0.6849191289418993,161.4524507522583,0.7,0.05,6,250,0.2,0.5,0.7
P,0.6666666666666666,0.6652819802724926,0.6626704838558841,160.97389316558838,0.7,0.05,6,250,0.2,0.5,0.8
P,0.6470588235294118,0.6518518518518519,0.6470588235294118,162.28686904907227,0.7,0.05,6,250,0.2,0.5,0.9
P,0.6470588235294118,0.6459030459030459,0.6446816564463623,330.425106048584,0.7,0.05,6,350,0.1,0.5,0.7
P,0.6470588235294118,0.6459030459030459,0.6446816564463623,331.3885340690613,0.7,0.05,6,350,0.1,0.5,0.8
P,0.6666666666666666,0.6652819802724926,0.6626704838558841,332.05682945251465,0.7,0.05,6,350,0.1,0.5,0.9
P,0.6862745098039216,0.6862945895203959,0.6849191289418993,316.2005035877228,0.7,0.05,6,350,0.2,0.5,0.7
P,0.6666666666666666,0.6652819802724926,0.6626704838558841,316.68210768699646,0.7,0.05,6,350,0.2,0.5,0.8
P,0.6470588235294118,0.6487284519542584,0.6451432185777537,316.1306667327881,0.7,0.05,6,350,0.2,0.5,0.9
P,0.6666666666666666,0.6666666666666666,0.6666666666666666,63.501994132995605,0.7,0.1,4,150,0.1,0.5,0.7
P,0.6470588235294118,0.6459030459030459,0.6446816564463623,63.03347063064575,0.7,0.1,4,150,0.1,0.5,0.8
P,0.6666666666666666,0.6681252681252681,0.6642894995836173,63.000211000442505,0.7,0.1,4,150,0.1,0.5,0.9
P,0.6666666666666666,0.6666666666666666,0.6666666666666666,59.92295002937317,0.7,0.1,4,150,0.2,0.5,0.7
P,0.6470588235294118,0.6459030459030459,0.6446816564463623,59.74212098121643,0.7,0.1,4,150,0.2,0.5,0.8
P,0.6666666666666666,0.6652819802724926,0.6626704838558841,59.954918384552,0.7,0.1,4,150,0.2,0.5,0.9
P,0.6666666666666666,0.6666666666666666,0.6666666666666666,168.5599217414856,0.7,0.1,4,250,0.1,0.5,0.7
P,0.6470588235294118,0.6459030459030459,0.6446816564463623,168.82291841506958,0.7,0.1,4,250,0.1,0.5,0.8
P,0.6470588235294118,0.6488039763901833,0.6464009648593827,168.7288179397583,0.7,0.1,4,250,0.1,0.5,0.9
P,0.6666666666666666,0.6666666666666666,0.6666666666666666,160.29696679115295,0.7,0.1,4,250,0.2,0.5,0.7
P,0.6470588235294118,0.6459030459030459,0.6446816564463623,160.71579265594482,0.7,0.1,4,250,0.2,0.5,0.8
P,0.6666666666666666,0.6652819802724926,0.6626704838558841,160.55204391479492,0.7,0.1,4,250,0.2,0.5,0.9
P,0.6666666666666666,0.6666666666666666,0.6666666666666666,328.06403827667236,0.7,0.1,4,350,0.1,0.5,0.7
P,0.6470588235294118,0.6459030459030459,0.6446816564463623,329.9640882015228,0.7,0.1,4,350,0.1,0.5,0.8
P,0.6470588235294118,0.6459030459030459,0.6446816564463623,330.37093710899353,0.7,0.1,4,350,0.1,0.5,0.9
P,0.6666666666666666,0.6666666666666666,0.6666666666666666,313.35637760162354,0.7,0.1,4,350,0.2,0.5,0.7
P,0.6470588235294118,0.6459030459030459,0.6446816564463623,314.2172420024872,0.7,0.1,4,350,0.2,0.5,0.8
P,0.6666666666666666,0.6652819802724926,0.6626704838558841,313.30889558792114,0.7,0.1,4,350,0.2,0.5,0.9
P,0.6666666666666666,0.6666666666666666,0.6666666666666666,63.439330101013184,0.7,0.1,6,150,0.1,0.5,0.7
P,0.6470588235294118,0.6459030459030459,0.6446816564463623,63.475027084350586,0.7,0.1,6,150,0.1,0.5,0.8
P,0.6666666666666666,0.6681252681252681,0.6642894995836173,63.64552593231201,0.7,0.1,6,150,0.1,0.5,0.9
P,0.6666666666666666,0.6666666666666666,0.6666666666666666,60.52555561065674,0.7,0.1,6,150,0.2,0.5,0.7
P,0.6470588235294118,0.6459030459030459,0.6446816564463623,59.730401039123535,0.7,0.1,6,150,0.2,0.5,0.8
