SNO,Organic carbon,,image_number,,
1,0.804878,.jpg,1.jpg,,
2,0.570732,.jpg,2.jpg,,
3,0.278049,.jpg,3.jpg,,
4,1.2,.jpg,4.jpg,,
5,0.702439,.jpg,5.jpg,,
6,1.317073,.jpg,6.jpg,,
7,0.35122,.jpg,7.jpg,,
8,0.614634,.jpg,8.jpg,,
9,0.819512,.jpg,9.jpg,,
10,0.6,.jpg,10.jpg,,
11,0.35122,.jpg,11.jpg,,
12,0.878049,.jpg,12.jpg,,
13,0.980488,.jpg,13.jpg,,
14,1.756098,.jpg,14.jpg,,
15,1.046512,.jpg,15.jpg,,
16,0.32093,.jpg,16.jpg,,
17,0.362791,.jpg,17.jpg,,
18,0.418605,.jpg,18.jpg,,
19,0.348837,.jpg,19.jpg,,
20,0.195349,.jpg,20.jpg,,
21,0.502326,.jpg,21.jpg,,
22,0.795349,.jpg,22.jpg,,
23,0.697674,.jpg,23.jpg,,
24,0.669767,.jpg,24.jpg,,
25,0.697674,.jpg,25.jpg,,
26,0.6,.jpg,26.jpg,,
27,0.293023,.jpg,27.jpg,,
28,0.460465,.jpg,28.jpg,,
29,0.669767,.jpg,29.jpg,,
30,0.620192,.jpg,30.jpg,,
31,0.302885,.jpg,31.jpg,,
32,0.634615,.jpg,32.jpg,,
33,0.317308,.jpg,33.jpg,,
34,0.403846,.jpg,34.jpg,,
35,0.923077,.jpg,35.jpg,,
36,0.649038,.jpg,36.jpg,,
37,0.692308,.jpg,37.jpg,,
38,0.605769,.jpg,38.jpg,,
39,0.447115,.jpg,39.jpg,,
40,0.5625,.jpg,40.jpg,,
41,0.331731,.jpg,41.jpg,,
42,0.201923,.jpg,42.jpg,,
43,0.594828,.jpg,43.jpg,,
44,0.827586,.jpg,44.jpg,,
45,0.931034,.jpg,45.jpg,,
46,0.956897,.jpg,46.jpg,,
47,1.086207,.jpg,47.jpg,,
48,0.310345,.jpg,48.jpg,,
49,0.646552,.jpg,49.jpg,,
50,0.543103,.jpg,50.jpg,,
51,1.991379,.jpg,51.jpg,,
52,0.646552,.jpg,52.jpg,,
53,0.646552,.jpg,53.jpg,,
54,0.491379,.jpg,54.jpg,,
55,0.439655,.jpg,55.jpg,,
56,0.517241,.jpg,56.jpg,,
57,0.206897,.jpg,57.jpg,,
58,0.336207,.jpg,58.jpg,,
59,0.775862,.jpg,59.jpg,,
60,0.387931,.jpg,60.jpg,,
61,0.556034,.jpg,61.jpg,,
62,0.142241,.jpg,62.jpg,,
63,0.517241,.jpg,63.jpg,,
64,0.724138,.jpg,64.jpg,,
65,0.284483,.jpg,65.jpg,,
66,0.853448,.jpg,66.jpg,,
67,0.50431,.jpg,67.jpg,,
68,0.271552,.jpg,68.jpg,,
69,1.034483,.jpg,69.jpg,,
70,0.827586,.jpg,70.jpg,,
71,1.2,.jpg,71.jpg,,
72,0.15,.jpg,72.jpg,,
73,0.78,.jpg,73.jpg,,
74,0.66,.jpg,74.jpg,,
75,0.48,.jpg,75.jpg,,
76,0.340288,.jpg,76.jpg,,
77,0.603702,.jpg,77.jpg,,
78,0.80858,.jpg,78.jpg,,
79,0.621598,.jpg,79.jpg,,
80,0.340288,.jpg,80.jpg,,
81,0.867117,.jpg,81.jpg,,
82,0.969556,.jpg,82.jpg,,
83,1.745166,.jpg,83.jpg,,
84,1.03558,.jpg,84.jpg,,
85,0.309998,.jpg,85.jpg,,
86,0.351859,.jpg,86.jpg,,
87,0.407673,.jpg,87.jpg,,
88,0.337905,.jpg,88.jpg,,
89,0.184417,.jpg,89.jpg,,
90,0.491394,.jpg,90.jpg,,
91,0.784417,.jpg,91.jpg,,
92,0.686742,.jpg,92.jpg,,
93,0.658835,.jpg,93.jpg,,
94,0.686742,.jpg,94.jpg,,
95,0.589068,.jpg,95.jpg,,
96,0.282091,.jpg,96.jpg,,
97,0.449533,.jpg,97.jpg,,
98,0.658835,.jpg,98.jpg,,
99,0.60926,.jpg,99.jpg,,
100,0.291953,.jpg,100.jpg,,
101,0.623683,.jpg,101.jpg,,
102,0.306376,.jpg,102.jpg,,
103,0.392914,.jpg,103.jpg,,
104,0.912145,.jpg,104.jpg,,
105,0.638106,.jpg,105.jpg,,
106,0.681376,.jpg,106.jpg,,
107,0.594837,.jpg,107.jpg,,
108,0.436183,.jpg,108.jpg,,
109,0.551568,.jpg,109.jpg,,
110,0.320799,.jpg,110.jpg,,
111,0.190991,.jpg,111.jpg,,
112,0.583896,.jpg,112.jpg,,
113,0.816654,.jpg,113.jpg,,
114,0.920102,.jpg,114.jpg,,
115,1.768141,.jpg,115.jpg,,
116,1.058555,.jpg,116.jpg,,
117,0.332973,.jpg,117.jpg,,
118,0.374834,.jpg,118.jpg,,
119,0.430648,.jpg,119.jpg,,
120,0.36088,.jpg,120.jpg,,
121,0.207392,.jpg,121.jpg,,
122,0.514369,.jpg,122.jpg,,
123,0.807392,.jpg,123.jpg,,
124,0.709717,.jpg,124.jpg,,
125,0.68181,.jpg,125.jpg,,
126,0.709717,.jpg,126.jpg,,
127,0.612043,.jpg,127.jpg,,
128,0.305066,.jpg,128.jpg,,
129,0.472508,.jpg,129.jpg,,
130,0.68181,.jpg,130.jpg,,
131,0.632235,.jpg,131.jpg,,
132,0.314928,.jpg,132.jpg,,
133,0.646658,.jpg,133.jpg,,
134,0.329351,.jpg,134.jpg,,
135,0.415889,.jpg,135.jpg,,
136,0.93512,.jpg,136.jpg,,
137,0.661081,.jpg,137.jpg,,
138,0.704351,.jpg,138.jpg,,
139,0.617812,.jpg,139.jpg,,
140,0.459158,.jpg,140.jpg,,
141,0.574543,.jpg,141.jpg,,
142,0.343774,.jpg,142.jpg,,
143,0.213966,.jpg,143.jpg,,
144,0.606871,.jpg,144.jpg,,
145,0.839629,.jpg,145.jpg,,
146,0.943077,.jpg,146.jpg,,
147,0.96894,.jpg,147.jpg,,
148,1.09825,.jpg,148.jpg,,
149,0.322388,.jpg,149.jpg,,
150,0.658595,.jpg,150.jpg,,
151,0.555146,.jpg,151.jpg,,
152,2.003422,.jpg,152.jpg,,
153,0.658595,.jpg,153.jpg,,
154,0.658595,.jpg,154.jpg,,
