uuid,spot_number,shot_number,shots_in_spot,image_filename,image_width,image_height,image_quality,capture_datetime,latitude,longitude,altitude_m,altitude_accuracy_m,gps_accuracy_m,gps_reading_count,camera_pitch,camera_roll,camera_heading,municipality,barangay,farm_name,crops,temperature_c,humidity_percent,notes,device_id,capture_mode,ph,n,p,k
6c88ac7d,2,1,10,images/2026/01/21/latrinidad_balili_bsuback_20260121_003253_6c88ac7d.jpg,1080,1080,1080p,2026-01-21T00:32:53.239Z,16.453927,120.591525,1359,2,3,1,24,33,301,La Trinidad,Balili,BSU Back,"cabbage,custom_chinese_cabbage",16.9,79,,TECNO_TECNO_CM8_5EAA20,field,6.4,0,0,0
334240c9,2,2,10,images/2026/01/21/latrinidad_balili_bsuback_20260121_003256_334240c9.jpg,1080,1080,1080p,2026-01-21T00:32:56.622Z,16.453922,120.591506,1358,15,3,1,23,33,294,La Trinidad,Balili,BSU Back,"cabbage,custom_chinese_cabbage",16.9,79,,TECNO_TECNO_CM8_5EAA20,field,6.4,0,0,0
ab7d4593,2,3,10,images/2026/01/21/latrinidad_balili_bsuback_20260121_003300_ab7d4593.jpg,1080,1080,1080p,2026-01-21T00:33:00.045Z,16.453922,120.591506,1358,15,3,1,30,37,329,La Trinidad,Balili,BSU Back,"cabbage,custom_chinese_cabbage",16.9,79,,TECNO_TECNO_CM8_5EAA20,field,6.4,0,0,0
jan16_0016,1,1,2,Latrinidad/latrinidad_betag_sf_20260116_100120_f4faec79.jpg,,,,2026-01-16T12:00:00.000Z,,,,,,,,,,La Trinidad,Betag,Strawberry Farm,"strawberry,brocolli,green_ice,pechay,lettuce",,,"Manually labeled - no GPS data. Crops: strawberry, brocolli, green ice, pechay, lettuce",unknown_phone_camera,field,6.4,0,0,1
a18676dc,1,2,10,images/2026/01/21/latrinidad_balili_bsuback_20260121_003130_a18676dc.jpg,1080,1080,1080p,2026-01-21T00:31:30.356Z,16.453933,120.591581,1363,6,3.3,1,18,1,355,La Trinidad,Balili,BSU Back,"cabbage,custom_chinese_cabbage",16.9,79,,TECNO_TECNO_CM8_5EAA20,field,6.4,0,0,1
f781136b,1,3,10,images/2026/01/21/latrinidad_balili_bsuback_20260121_003133_f781136b.jpg,1080,1080,1080p,2026-01-21T00:31:33.202Z,16.453933,120.591581,1363,6,3.3,1,18,26,346,La Trinidad,Balili,BSU Back,"cabbage,custom_chinese_cabbage",16.9,79,,TECNO_TECNO_CM8_5EAA20,field,6.4,0,0,1
ed6fc014,1,1,5,images/atok/paoay/no_farm/cabbage/atok_paoay_20260213_020214_ed6fc014.jpg,1920,1080,1080p,2026-02-13T02:02:15.292Z,16.453517,120.590899,1358,6,3.4,1,3,-11,122,Atok,Paoay,,cabbage,19.7,70,,TECNO_TECNO_CM8_2703FE,field,6.4,0,0,2
a60e8ff8,1,2,5,images/atok/paoay/no_farm/cabbage/atok_paoay_20260213_020233_a60e8ff8.jpg,1920,1080,1080p,2026-02-13T02:02:33.710Z,16.453398,120.590812,1360,10,5.1,1,57,42,277,Atok,Paoay,,cabbage,19.7,70,,TECNO_TECNO_CM8_2703FE,field,6.4,0,0,2
368f12ab,1,3,5,images/atok/paoay/no_farm/cabbage/atok_paoay_20260213_020243_368f12ab.jpg,1920,1080,1080p,2026-02-13T02:02:43.826Z,16.453394,120.590862,1363,14,3.1,1,47,-4,295,Atok,Paoay,,cabbage,22.7,49,,TECNO_TECNO_CM8_2703FE,field,6.4,0,0,2
ec88f187,14,1,5,images/2026/01/21/latrinidad_balili_20260121_054244_ec88f187.jpg,1080,1080,1080p,2026-01-21T05:42:44.033Z,,,,,,,26,0,197,La Trinidad,Balili,,lettuce,,,,TECNO_TECNO_CM8_DF2CAC,controlled,5.8,0,1,0
