uuid,agricapture_file,terrascan_file,ssim,hist_cosine,glcm_cosine,cls_cosine,L_mean_ac,L_mean_ts,L_delta,A_mean_ac,A_mean_ts,A_delta,B_mean_ac,B_mean_ts,B_delta,sharpness_ac,sharpness_ts,entropy_ac,entropy_ts,kp_count_ac,kp_count_ts,similarity_verdict,quality_winner
08700ab9,latrinidad_balili_bsuback_20260121_014719_08700ab9_processed.jpg,latrinidad_balili_bsuback_20260121_014719_08700ab9.png,0.3233,0.4877,0.9859,0.9981,190.07,166.34,23.73,131.23,131.23,0.0,139.9,137.89,2.02,6439.77,13944.02,4.6637,4.514,474,474,EQUIVALENT,Mixed / Unclear
10833611,latrinidad_betag_sf_20260121_051303_10833611_processed.jpg,latrinidad_betag_sf_20260121_051303_10833611.png,0.1283,0.0557,0.9986,0.9967,148.05,56.16,91.89,129.98,130.83,0.85,131.24,133.32,2.08,102.3,371.23,1.8585,1.7125,320,441,EQUIVALENT,Mixed / Unclear
19c1553a,latrinidad_betag_sf_20260116_111335_19c1553a_processed.jpg,latrinidad_betag_sf_20260116_111335_19c1553a.png,0.0887,0.8429,0.9934,0.989,232.25,217.79,14.47,128.07,129.77,1.7,143.66,155.11,11.45,371.89,1954.93,0.8451,0.6833,374,408,CLOSE,Mixed / Unclear
1a3a261f,latrinidad_betag_sf_20260121_050301_1a3a261f_processed.jpg,latrinidad_betag_sf_20260121_050301_1a3a261f.png,0.1313,0.1923,0.9909,0.9959,158.6,73.82,84.77,131.91,136.82,4.91,133.56,137.41,3.85,382.24,1426.31,1.9716,1.7709,439,456,EQUIVALENT,Mixed / Unclear
23079a73,latrinidad_betag_sf_20260121_051258_23079a73_processed.jpg,latrinidad_betag_sf_20260121_051258_23079a73.png,0.1369,0.1109,0.9986,0.9905,152.51,71.52,80.99,129.79,130.6,0.81,131.28,133.53,2.26,84.72,296.15,1.559,1.3848,276,448,CLOSE,Mixed / Unclear
258bea1d,atok_paoay_20260213_012228_258bea1d_processed.jpg,atok_paoay_20260213_012228_258bea1d.png,0.2092,0.5677,0.9395,0.9972,173.61,119.19,54.43,133.3,135.71,2.41,144.08,148.71,4.63,2650.1,8230.76,3.2388,3.1589,465,469,CLOSE,Mixed / Unclear
26970d07,atok_paoay_20260213_011439_26970d07_processed.jpg,atok_paoay_20260213_011439_26970d07.png,0.3746,0.5767,0.983,0.9992,170.27,133.92,36.35,132.72,132.6,0.13,151.41,148.44,2.97,5535.05,12469.33,5.0945,4.9178,470,472,EQUIVALENT,Mixed / Unclear
28cd820d,latrinidad_betag_sf_20260116_111336_28cd820d_processed.jpg,latrinidad_betag_sf_20260116_111336_28cd820d.png,0.1178,0.8685,0.9833,0.9917,221.26,196.86,24.4,130.38,134.41,4.03,143.47,154.33,10.86,536.26,3507.9,1.093,0.8557,352,379,CLOSE,Mixed / Unclear
29c36fd5,latrinidad_betag_sf_20260121_050253_29c36fd5_processed.jpg,latrinidad_betag_sf_20260121_050253_29c36fd5.png,0.0882,0.2028,0.9954,0.9959,159.28,74.5,84.78,132.08,134.98,2.91,132.88,136.64,3.76,253.48,973.21,1.6571,1.4869,429,461,EQUIVALENT,Mixed / Unclear
2b33eda0,latrinidad_balili_20260121_054246_2b33eda0_processed.jpg,latrinidad_balili_20260121_054246_2b33eda0.png,0.0891,0.289,0.9897,0.9975,163.38,81.98,81.4,131.94,134.67,2.73,131.46,134.31,2.85,408.53,1570.8,1.6739,1.5513,448,457,EQUIVALENT,Mixed / Unclear
